City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Ponta Do Sol,PT,2021-08-22 01:31:31,32.6667,-17.1,72.23,66,0,1.83,clear sky
60,Puerto Ayora,EC,2021-08-22 01:31:20,-0.7393,-90.3518,70.2,85,76,10.74,broken clouds
61,Bredasdorp,ZA,2021-08-22 01:31:26,-34.5322,20.0403,45.72,76,0,5.75,clear sky
62,Veraval,IN,2021-08-22 01:33:00,20.9,70.3667,78.93,84,100,4.63,overcast clouds
63,Boden,SE,2021-08-22 01:33:00,65.8252,21.6886,50.0,80,100,9.89,overcast clouds
64,Katsuura,JP,2021-08-22 01:33:00,35.1333,140.3,84.31,76,100,18.16,light rain
65,Hualmay,PE,2021-08-22 01:28:27,-11.0964,-77.6139,62.62,82,35,11.48,scattered clouds
66,Portobelo,PA,2021-08-22 01:33:01,9.55,-79.65,79.86,85,32,5.06,scattered clouds
67,Cherskiy,RU,2021-08-22 01:33:01,68.75,161.3,70.14,39,80,4.99,broken clouds
68,Iqaluit,CA,2021-08-22 01:32:20,63.7506,-68.5145,44.33,81,40,2.3,scattered clouds
69,Quatre Cocos,MU,2021-08-22 01:28:29,-20.2078,57.7625,66.09,80,1,4.21,clear sky
70,Tasiilaq,GL,2021-08-22 01:27:27,65.6145,-37.6368,46.56,92,99,1.92,overcast clouds
71,Cabo San Lucas,MX,2021-08-22 01:29:00,22.8909,-109.9124,92.52,72,1,4.0,clear sky
72,Hithadhoo,MV,2021-08-22 01:31:32,-0.6,73.0833,82.45,71,10,13.13,clear sky
73,Taoudenni,ML,2021-08-22 01:33:02,22.6783,-3.9836,98.82,15,2,2.26,clear sky
74,Constitucion,CL,2021-08-22 01:33:02,-35.3333,-72.4167,50.56,87,79,11.74,broken clouds
75,Koundara,GN,2021-08-22 01:33:03,12.4833,-13.3,75.54,91,100,3.47,light rain
76,Kapaa,US,2021-08-22 01:31:19,22.0752,-159.319,87.78,65,20,4.0,few clouds
77,Yellowknife,CA,2021-08-22 01:31:19,62.456,-114.3525,57.72,41,75,12.66,broken clouds
78,Kambove,CD,2021-08-22 01:33:03,-10.8764,26.5969,62.24,39,5,4.54,clear sky
79,Nikolskoye,RU,2021-08-22 01:31:34,59.7035,30.7861,51.69,97,0,4.56,clear sky
80,Henties Bay,NA,2021-08-22 01:33:04,-22.116,14.2845,49.86,89,2,5.5,clear sky
81,Saldanha,ZA,2021-08-22 01:31:51,-33.0117,17.9442,41.05,78,0,4.72,clear sky
82,Cody,US,2021-08-22 01:32:12,44.5263,-109.0565,61.63,75,90,13.8,overcast clouds
83,Chapais,CA,2021-08-22 01:32:15,49.7834,-74.8492,78.58,69,58,7.09,broken clouds
84,Kemijarvi,FI,2021-08-22 01:33:04,66.7131,27.4306,44.69,97,100,12.48,light rain
85,Albany,US,2021-08-22 01:27:10,42.6001,-73.9662,75.88,88,83,3.78,broken clouds
86,Puerto Baquerizo Moreno,EC,2021-08-22 01:32:42,-0.9,-89.6,70.2,83,99,12.46,overcast clouds
87,Carnarvon,AU,2021-08-22 01:32:13,-24.8667,113.6333,64.47,57,4,19.57,clear sky
88,Svetlyy,RU,2021-08-22 01:33:05,54.675,20.1347,48.25,79,4,4.56,clear sky
89,Lubuk Pakam,ID,2021-08-22 01:33:05,3.5604,98.8767,77.14,94,100,2.64,overcast clouds
90,Labuhan,ID,2021-08-22 01:29:34,-6.8844,112.2051,80.37,71,77,8.79,broken clouds
91,Besuki,ID,2021-08-22 01:33:06,-7.7338,113.6979,85.17,60,80,3.83,broken clouds
92,Mahon,ES,2021-08-22 01:33:06,39.8885,4.2658,73.96,94,0,4.61,clear sky
