City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
201,Tsuruga,JP,77.63,broken clouds,35.6455,136.0558,New Sunpia Tsuruga
204,Biak,ID,76.89,overcast clouds,-0.9131,122.8766,Penginapan Kim
205,Nouadhibou,MR,78.78,clear sky,20.930999999999997,-17.0347,El Medina
207,Port Hedland,AU,69.85,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
209,Asfi,MA,67.57,clear sky,32.2994,-9.2372,Hôtel Abda
211,Ust-Nera,RU,69.73,overcast clouds,64.5667,143.2,Hotel Ust-Nera
214,Ixtapa,MX,77.23,thunderstorm,20.7,-105.2,Hotel Plaza Providencia
221,Saint-Pierre,RE,69.48,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
222,Mnogovershinnyy,RU,78.15,clear sky,53.9353,139.9242,Obshchezhitiye 14
223,Porto Santo,PT,71.98,scattered clouds,33.071999999999996,-16.3415,Hotel Porto Santo & Spa
227,Zimovniki,RU,68.07,clear sky,47.1483,42.4633,Guest House
230,Gat,IL,79.48,clear sky,31.61,34.7642,OlusHome
231,Montepuez,MZ,65.5,clear sky,-13.1256,38.9997,PembaAparthotel
236,Dubbo,AU,71.73,scattered clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
237,San Cristobal,VE,75.38,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
238,Ciudad Bolivar,VE,77.99,overcast clouds,8.1222,-63.5497,Hotel Edi
242,Ulladulla,AU,72.88,clear sky,-35.35,150.4667,Sandpiper Motel
246,Salalah,OM,78.89,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
250,Amberley,US,79.72,mist,39.2048,-84.428,"Motel 6 Cincinnati, OH - Central - Norwood"
253,Montenegro,ME,73.15,clear sky,42.5,19.3,Hostel IZVOR
254,Praia Da Vitoria,PT,74.75,few clouds,38.7333,-27.0667,Hotel Branco I
255,San Quintin,MX,71.44,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
256,Airai,TL,72.63,clear sky,-8.9266,125.4092,Juvinal Martin
259,Alenquer,BR,79.14,clear sky,-1.9417,-54.7383,Josilene Castro
261,Abha,SA,67.82,clear sky,18.2164,42.5053,Abha Hotel
265,Lashio,MM,71.26,overcast clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
267,Bischwiller,FR,65.75,broken clouds,48.7659,7.8583,Hôtel Restaurant Notre Dame
268,Lekoni,GA,77.72,light rain,-1.5843,14.2591,Rendez-vous Des ChasseursD
273,Kinkala,CG,73.71,clear sky,-4.3614,14.7644,Hotel la Pepeche Kinkala
283,Carutapera,BR,76.53,clear sky,-1.195,-46.02,Lidera
291,Jipijapa,EC,67.5,overcast clouds,-1.3333,-80.5833,Hotel Los Ceibos Jipijapa
293,Kochubey,RU,76.62,overcast clouds,44.3861,46.5825,Придорожный комплекс EUROPA
294,Hashtgerd,IR,77.56,broken clouds,35.9642,50.6858,Parse System
300,Marsa Matruh,EG,75.4,clear sky,31.3525,27.2453,Beau Site
302,Loandjili,CG,73.51,few clouds,-4.7561,11.8578,Résidence ARCHANGE
305,Sola,VU,78.58,few clouds,-13.8833,167.55,Leumerus Bungalows
306,Mangrol,IN,79.29,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
309,Laguna De Perlas,NI,79.34,overcast clouds,12.3429,-83.6712,Hotel Best View
313,Saint-Joseph,RE,68.38,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
315,Bowen,AU,77.22,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
320,Tabou,CI,74.62,moderate rain,4.423,-7.3528,hotêl doufoulougou
322,Quincy,US,77.63,scattered clouds,42.2529,-71.0023,Brookside House
324,Kiyasovo,RU,68.83,overcast clouds,56.3491,53.1244,Гостиница Центральная
325,Susanville,US,76.84,haze,40.4163,-120.65299999999999,Comfort Inn & Suites
326,Turayf,SA,79.05,clear sky,31.6725,38.6637,Turaif
327,Nieuw Amsterdam,SR,79.02,broken clouds,5.8833,-55.0833,Globe Hotel
328,Erzin,TR,78.01,clear sky,36.9559,36.2,Artemis Otel
330,Karratha,AU,79.45,clear sky,-20.7377,116.8463,ibis Styles Karratha
336,Bethel,US,76.44,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
338,Nacala,MZ,68.92,clear sky,-14.5428,40.6728,Nacala Plaza Business Design Hotel
339,Petlawad,IN,74.1,overcast clouds,23.0,74.8,Gurjar Hotel
341,Tura,IN,75.11,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
343,Saint-Marc,HT,79.41,overcast clouds,19.1082,-72.6938,Maguana Hotel
347,Soure,BR,79.75,few clouds,-0.7167,-48.5233,Casarão da Amazônia
355,Pitimbu,BR,73.99,clear sky,-7.4706,-34.8086,Reserva do Abiaí
356,Boromo,BF,73.17,light rain,11.75,-2.9333,Sama Camp
357,Vao,NC,68.47,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
362,Mackay,AU,78.04,clear sky,-21.15,149.2,International Lodge Motel
366,Alegre,BR,65.53,clear sky,-20.7636,-41.5331,Alegre Hotel
369,Tailai,CN,73.02,scattered clouds,46.3833,123.4,Pearl Garden Hotel
372,Soyo,AO,71.1,clear sky,-6.1349,12.3689,Hotel Mpampa
375,Yabrud,SY,65.52,clear sky,33.9674,36.6574,المنزل
377,Yamada,JP,73.58,overcast clouds,39.4667,141.95,Iroha-ya Inn
378,Ryotsu,JP,78.76,overcast clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
379,Sale,MA,73.42,scattered clouds,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
380,Pacific Grove,US,68.81,haze,36.6177,-121.9166,Lovers Point Inn
381,Isangel,VU,78.91,scattered clouds,-19.55,169.2667,Tanna Lodge
382,Yinchuan,CN,79.57,overcast clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
383,Sao Felix Do Xingu,BR,76.3,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
384,Mokrousovo,RU,72.05,scattered clouds,55.8103,66.7653,Tserkov'
386,Bathurst,AU,68.97,scattered clouds,-33.4166,149.5806,Bathurst Motor Inn
388,Helong,CN,69.6,overcast clouds,42.5397,128.9972,Helong Hotel
390,Muros,ES,66.99,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
393,Urumqi,CN,65.35,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
394,Mitzic,GA,67.35,overcast clouds,0.7821,11.549000000000001,Motel Emys
395,Moindou,NC,75.15,scattered clouds,-21.6924,165.67700000000002,Gite de la RYAWA
397,Ajaccio,FR,68.05,clear sky,42.0,8.9167,Sole E Monte
399,Sancti Spiritus,CU,76.57,broken clouds,21.9297,-79.4425,Hostal El Parque
402,Carballo,ES,65.91,broken clouds,43.213,-8.691,Pazo do Souto
409,Pontianak,ID,75.18,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
416,Inhambane,MZ,67.37,clear sky,-23.865,35.3833,Oceano
421,Tibu,CO,75.67,scattered clouds,8.639,-72.7358,Hotel Yuliana's
431,Quelimane,MZ,69.75,scattered clouds,-17.8786,36.8883,Hotel Flamingo
436,Wamba,NG,69.78,light rain,8.9333,8.6,Roma Zee Guest House Annex
439,Ucluelet,CA,72.09,broken clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
440,Chalus,IR,76.46,few clouds,36.655,51.4204,نظام مهندسي ساختمان چالوس
443,Joao Pinheiro,BR,67.98,few clouds,-17.7425,-46.1725,Hotel Santos
445,Yerofey Pavlovich,RU,67.39,light rain,53.9667,121.9667,lounges and warm parking
449,Pilar,BR,71.53,clear sky,-9.5972,-35.9567,Pousada e churrascaria Manguaba
451,Natal,BR,75.42,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
453,Jiangyou,CN,75.69,light rain,31.7667,104.7167,Shangping Shuyuan Inn
454,Bonnyville,CA,67.32,overcast clouds,54.2668,-110.735,Best Western Bonnyville Inn & Suites
455,Provost,CA,70.25,overcast clouds,52.3501,-110.2683,Canalta Hotel Provost
457,Citta Di Castello,IT,69.89,clear sky,43.4691,12.2305,Hotel Garden
458,Nanae,JP,71.83,broken clouds,41.8833,140.6833,とみや旅館
460,Korcula,HR,66.76,clear sky,42.9622,17.1369,Marko Polo Hotel by Aminess
461,Visp,CH,68.27,moderate rain,46.2937,7.8815,Baxter Hotel
464,Pochutla,MX,79.65,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
468,Utete,TZ,70.43,scattered clouds,-7.986000000000001,38.758,River View Lodge
469,Vilhena,BR,72.77,clear sky,-12.7406,-60.1458,Hotel Mirage
471,Lompoc,US,73.54,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
478,Teguise,ES,66.42,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
480,Matagami,CA,77.11,clear sky,49.7502,-77.6328,Hôtel Matagami
481,Muromtsevo,RU,67.69,broken clouds,56.3724,75.2418,Plyazh U Reki Tara
485,Juba,SS,68.29,light rain,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
488,Kiama,AU,75.38,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
490,Macas,EC,67.55,light rain,-2.3167,-78.1167,Casa Upano
491,Lewistown,US,76.41,few clouds,40.5992,-77.5714,Quality Inn & Suites
493,Fairview,US,76.82,mist,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
494,Coos Bay,US,65.98,clear sky,43.3665,-124.2179,Best Western Holiday Hotel
495,Gunjur,GM,78.87,broken clouds,13.2019,-16.7339,Kuba Lodge
496,Samandag,TR,75.72,clear sky,36.0842,35.9771,Anadolu Palace Hotel
498,Kutum,SD,76.73,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
500,Jawhar,SO,74.39,few clouds,2.7809,45.5005,hantiwadaag village part one
502,Sault Sainte Marie,CA,79.09,overcast clouds,46.5168,-84.3333,Comfort Inn
503,Eregli,TR,66.11,clear sky,37.5133,34.0467,Hotel Fuat Bey
505,Eluru,IN,78.89,scattered clouds,16.7,81.1,SRI KRISHNA RESIDENCY
508,Numan,NG,71.38,moderate rain,9.4667,12.0333,Zangun Motel
511,Waddan,LY,75.65,clear sky,29.1614,16.139,محل الشريف محمد العايب
513,Nelson Bay,AU,77.29,clear sky,-32.7167,152.15,Mantra Nelson Bay
514,Takoradi,GH,75.13,light rain,4.8845,-1.7554,Raybow International Hotel
515,Malakal,SS,71.1,overcast clouds,9.5334,31.6605,Nile Palace Hotel
518,Along,IN,75.02,overcast clouds,28.1667,94.7667,Hotel West
521,Le Mars,US,70.57,clear sky,42.7942,-96.1656,"Holiday Inn Express & Suites Le Mars, an IHG Hotel"
529,Dondo,MZ,65.37,clear sky,-19.6094,34.7431,Arco Iris
530,Dingli,MT,76.82,clear sky,35.8614,14.3822,The Xara Palace Relais & Chateaux
532,Humberto De Campos,BR,77.32,broken clouds,-2.5983,-43.4611,Pousada do Cabeça
534,Yulara,AU,76.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
539,Kingaroy,AU,74.03,clear sky,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
541,Raton,US,77.61,scattered clouds,36.9034,-104.4391,"Holiday Inn Express & Suites Raton, an IHG Hotel"
542,Esso,RU,70.88,clear sky,55.9333,158.7,Paramushir Tur
544,Milkovo,RU,73.02,scattered clouds,54.7167,158.6167,"Hotel ""Geologist"""
549,Banswada,IN,75.31,overcast clouds,18.3833,77.8833,KBR
559,Alta Floresta,BR,75.27,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
561,Vanimo,PG,75.61,heavy intensity rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
563,Fortuna,US,77.47,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
564,Manta,EC,71.38,overcast clouds,-0.95,-80.7333,Balandra Hotel
566,Saint-Francois,FR,66.47,clear sky,46.4154,3.9054,Manoir Du Bonheur
567,Mayumba,GA,72.0,overcast clouds,-3.432,10.6554,LIKWALE LODGE
568,Virginia Beach,US,79.02,broken clouds,36.8529,-75.97800000000001,Hilton Virginia Beach Oceanfront
569,Vila Franca Do Campo,PT,73.81,clear sky,37.7167,-25.4333,Pestana Bahia Praia
572,Burns Lake,CA,65.62,overcast clouds,54.2331,-125.7533,Burns Lake Bed and Breakfast
573,Ishim,RU,72.97,clear sky,56.1128,69.4902,Hostel v Ishime
574,Mogadishu,SO,77.07,clear sky,2.0371,45.3438,Hotel Juba
576,Harper,LR,74.79,moderate rain,4.375,-7.7169,Screensaver
579,Alghero,IT,66.29,clear sky,40.5589,8.3181,Villa Las Tronas Hotel & Spa
583,Half Moon Bay,US,76.03,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
